codeinsee,id
34100,34
34101,34
34102,34
34103,34
34104,34
34141,34
34142,34
34143,34
34144,34
34145,34
34111,34
34112,34
34113,34
34114,34
34115,34
34170,34
34171,34
34172,34
34173,34
30188,30
30189,30
30019,30
30190,30
30191,30
30123,30
34327,34
34077,34
34120,34
34202,34
34123,34
34129,34
34169,34
34334,34
30350,30
34335,34
30351,30
34336,34
34337,34
34338,34
34339,34
34340,34
34341,34
30352,30
34342,34
34343,34
30353,30
34330,34
30343,30
30344,30
30345,30
34331,34
30346,30
30347,30
30348,30
34332,34
34333,34
30349,30
30321,30



